ЭФЕМЕРИДЫ ПО ОБЪЕКТУ:  90108
Для пункта:  10016 Маяки   46 23'50.68"   30 16'17.74"    14m
C   2010-02-01 12:00
по  2010-02-16 12:00
Шаг  0:10:00
Мин.угол места:          10 град
Макс.угол места Солнца: -10 град
Стандартный блеск :      8.8 (зв.вел.)

ОБОЗНАЧЕНИЯ
RA        прямое восхождение, тек.эпоха
DECL      склонение, тек.эпоха
RARate    скорость по пр.восх., арксек/мин
DeclRate  скорость по склонению, арксек/мин
HourAng   часовой угол
Az        азимут
Um        угол места
Phase     фазовый угол
Range     дальность
Mag       зв.величина (оценка)

   Date        UTC        RA         DECL      RARate   DeclRate    HourAng      Az     Um    Phase  Range  Mag
2010-02-02  02:00:00  11 12 13.2  -05 21 14  +000799.4 -000223.3  01 37 30.5  209.680 33.908  39.04  39761 15.8
2010-02-02  02:10:00  11 21 06.4  -05 58 31  +000800.5 -000224.1  01 38 38.9  209.743 33.227  41.21  39782 15.8
2010-02-02  02:20:00  11 30 00.5  -06 35 55  +000801.9 -000224.5  01 39 46.5  209.800 32.545  43.39  39799 15.8
2010-02-02  02:30:00  11 38 55.7  -07 13 21  +000803.6 -000224.7  01 40 53.0  209.850 31.865  45.59  39814 15.9
2010-02-02  02:40:00  11 47 52.0  -07 50 48  +000805.6 -000224.6  01 41 58.2  209.893 31.186  47.78  39824 15.9
2010-02-02  02:50:00  11 56 49.9  -08 28 12  +000808.0 -000224.1  01 43 02.0  209.928 30.510  50.01  39832 15.9
2010-02-02  03:00:00  12 05 49.4  -09 05 30  +000810.7 -000223.4  01 44 04.1  209.955 29.838  52.23  39836 16.0
2010-02-02  03:10:00  12 14 50.9  -09 42 38  +000813.7 -000222.3  01 45 04.3  209.973 29.172  54.47  39836 16.0
2010-02-02  03:20:00  12 23 54.5  -10 19 35  +000817.1 -000220.9  01 46 02.4  209.982 28.512  56.71  39833 16.0
2010-02-02  03:30:00  12 33 00.4  -10 56 16  +000820.8 -000219.2  01 46 58.0  209.981 27.859  58.97  39827 16.1
2010-02-02  03:40:00  12 42 09.0  -11 32 38  +000824.8 -000217.1  01 47 51.2  209.970 27.216  61.23  39816 16.1
2010-02-02  03:50:00  12 51 20.3  -12 08 38  +000829.2 -000214.8  01 48 41.5  209.949 26.582  63.51  39802 16.2
2010-02-02  04:00:00  13 00 34.6  -12 44 12  +000833.8 -000212.1  01 49 28.8  209.917 25.959  65.79  39785 16.2
2010-02-02  04:10:00  13 09 52.1  -13 19 18  +000838.8 -000209.0  01 50 13.0  209.874 25.349  68.09  39764 16.2
2010-02-02  04:20:00  13 19 13.0  -13 53 50  +000844.0 -000205.6  01 50 53.7  209.820 24.751  70.38  39739 16.3

   Date        UTC        RA         DECL      RARate   DeclRate    HourAng      Az     Um    Phase  Range  Mag
2010-02-02  16:10:00  02 16 58.5  +03 06 05  +000975.0 +000209.7  00 45 04.9  196.198 45.606 100.49  35649 16.9
2010-02-02  16:20:00  02 27 47.8  +03 40 17  +000973.1 +000200.7  00 44 17.1  196.075 46.203  97.76  35703 16.8
