ЭФЕМЕРИДЫ ПО ОБЪЕКТУ:  95377
Для пункта:  10016 Маяки   46 23'50.68"   30 16'17.74"    14m
C   2010-04-15 12:00
по  2010-05-01 12:00
Шаг  0:10:00
Мин.угол места:          10 град
Макс.угол места Солнца: -10 град
Стандартный блеск :      8.1 (зв.вел.)

ОБОЗНАЧЕНИЯ
RA        прямое восхождение, тек.эпоха
DECL      склонение, тек.эпоха
RARate    скорость по пр.восх., арксек/мин
DeclRate  скорость по склонению, арксек/мин
HourAng   часовой угол
Az        азимут
Um        угол места
Phase     фазовый угол
Range     дальность
Mag       зв.величина (оценка)

   Date        UTC        RA         DECL      RARate   DeclRate    HourAng      Az     Um    Phase  Range  Mag
2010-04-15  19:40:00  06 49 04.5  -06 11 19  +002372.6 +000151.7  04 27 25.3  248.651 11.036 100.26  19284 14.9
2010-04-16  22:50:00  11 43 10.3  -12 24 59  +000506.0 -000135.6  02 47 47.2  224.073 20.197  28.59  36429 14.8
2010-04-16  23:00:00  11 48 52.9  -12 48 14  +000522.1 -000143.6  02 52 06.3  224.842 19.338  27.23  35885 14.7
2010-04-16  23:10:00  11 54 47.1  -13 12 54  +000540.9 -000152.7  02 56 13.8  225.542 18.478  25.81  35274 14.7
2010-04-16  23:20:00  12 00 54.8  -13 39 12  +000562.8 -000163.1  03 00 07.7  226.166 17.619  24.37  34595 14.6
2010-04-16  23:30:00  12 07 18.3  -14 07 20  +000588.4 -000175.0  03 03 45.9  226.705 16.762  22.87  33844 14.6
2010-04-16  23:40:00  12 14 00.3  -14 37 39  +000618.4 -000188.9  03 07 05.5  227.148 15.912  21.35  33020 14.5
2010-04-16  23:50:00  12 21 04.0  -15 10 27  +000653.7 -000205.3  03 10 03.4  227.484 15.070  19.77  32119 14.5
2010-04-17  00:00:00  12 28 33.3  -15 46 14  +000695.5 -000224.6  03 12 35.8  227.695 14.241  18.16  31137 14.4
2010-04-17  00:10:00  12 36 33.2  -16 25 32     <<SHADOW>>        03 14 37.6  227.762 13.427  16.52  30069 ----
2010-04-17  00:20:00  12 45 09.6  -17 09 05     <<SHADOW>>        03 16 02.7  227.660 12.632  14.90  28911 ----
2010-04-17  00:30:00  12 54 30.7  -17 57 50     <<SHADOW>>        03 16 43.3  227.356 11.858  13.35  27657 ----
2010-04-17  00:40:00  13 04 46.8  -18 53 04     <<SHADOW>>        03 16 28.8  226.807 11.110  12.02  26300 ----
2010-04-17  00:50:00  13 16 12.4  -19 56 31     <<SHADOW>>        03 15 04.9  225.952 10.387  11.14  24832 ----

   Date        UTC        RA         DECL      RARate   DeclRate    HourAng      Az     Um    Phase  Range  Mag
2010-04-17  17:50:00  10 50 15.3  -08 34 33  +000448.8 -000084.3  22 43 49.5  157.520 32.455  42.48  37663 15.0
2010-04-17  18:00:00  10 55 13.0  -08 48 48  +000444.5 -000086.9  22 48 53.5  159.027 32.549  41.25  37872 15.0
2010-04-17  18:10:00  11 00 08.3  -09 03 31  +000441.5 -000089.6  22 53 59.9  160.550 32.615  40.02  38025 15.0
2010-04-17  18:20:00  11 05 02.0  -09 18 41  +000439.9 -000092.5  22 59 07.8  162.082 32.652  38.80  38123 15.0
2010-04-17  18:30:00  11 09 55.1  -09 34 21  +000439.6 -000095.5  23 04 16.3  163.620 32.658  37.58  38165 15.0
